fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,hrMedia,hrMax,horaHrMax,hrMin,horaHrMin
2022-12-25,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"15,6","0,0","11,3",06:48,"19,8",14:17,74.0,86.0,18:10,52.0,10:40
2022-12-26,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"16,6","0,0","10,9",06:31,"22,4",13:07,67.0,89.0,23:30,38.0,12:20
2022-12-27,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"14,8","0,0","10,6",07:14,"18,9",13:46,73.0,90.0,Varias,55.0,13:50
2022-12-28,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"13,4","0,0","9,7",06:16,"17,0",12:48,76.0,82.0,05:30,69.0,12:40
2022-12-29,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"14,6","0,0","10,0",05:21,"19,2",13:11,62.0,82.0,Varias,45.0,Varias
2022-12-30,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"16,5","0,0","13,4",05:25,"19,6",14:06,62.0,71.0,06:50,52.0,Varias
2022-12-31,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"17,2","0,0","12,8",23:24,"21,7",14:50,62.0,83.0,Varias,42.0,14:40
2023-01-01,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"13,6","0,0","11,0",03:53,"16,2",12:22,79.0,89.0,19:50,71.0,06:30
2023-01-02,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"13,2","0,2","10,4",05:58,"15,9",13:06,76.0,87.0,20:40,67.0,05:30
2023-01-03,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"14,7","0,0","11,9",Varias,"17,5",Varias,76.0,85.0,06:00,62.0,Varias
2023-01-04,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"13,5","0,0","9,9",06:58,"17,1",14:39,70.0,80.0,05:20,59.0,15:00
2023-01-05,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"12,8","0,0","8,2",06:28,"17,3",13:48,71.0,82.0,08:00,39.0,13:40
2023-01-06,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"11,4","0,0","7,4",07:33,"15,3",13:50,66.0,81.0,Varias,54.0,12:00
2023-01-07,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"13,0","0,0","8,9",Varias,"17,1",15:05,59.0,86.0,Varias,40.0,14:40
2023-01-08,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"13,6","0,0","11,3",00:01,"15,9",15:07,70.0,77.0,23:50,56.0,02:20
2023-01-09,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"14,8","0,0","11,8",23:58,"17,7",13:24,46.0,81.0,01:20,38.0,13:10
2023-01-10,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"12,8","0,0","9,2",04:15,"16,3",14:06,55.0,80.0,23:10,44.0,13:10
