fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,hrMedia,hrMax,horaHrMax,hrMin,horaHrMin
2023-09-30,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"25,2","0,0","21,0",05:30,"29,3",09:10,21.0,"3,9","7,2",15:40,71,92,22:40,52,08:50
2023-10-01,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"23,9","0,0","21,3",Varias,"26,5",13:30,8.0,"3,6","6,1",08:10,83,92,Varias,73,09:00
2023-10-02,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"23,0","0,0","20,0",04:00,"25,9",12:00,99.0,"2,8","5,0",Varias,86,92,Varias,79,13:20
2023-10-03,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"23,6","0,0","20,2",06:00,"26,9",14:30,99.0,"2,8","5,8",14:50,87,92,Varias,76,14:20
2023-10-04,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"25,0","0,0","22,3",23:59,"27,8",09:40,24.0,"4,7","12,5",13:50,76,89,Varias,58,09:30
2023-10-05,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"22,9","0,0","20,8",06:10,"25,0",12:50,21.0,"2,2","7,2",15:00,88,91,Varias,83,16:30
2023-10-06,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"24,0","0,0","21,4",06:00,"26,5",11:40,8.0,"1,7","5,3",09:40,87,91,05:50,81,09:30
2023-10-07,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"23,3","0,0","20,6",06:00,"26,0",11:00,99.0,"2,5","5,0",Varias,90,92,Varias,86,Varias
2023-10-08,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"22,2","0,0","19,0",06:20,"25,5",11:30,20.0,"2,5","5,3",14:20,88,93,Varias,81,11:20
2023-10-09,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"22,4","0,0","19,3",06:00,"25,4",10:20,21.0,"3,6","8,9",12:30,88,92,Varias,75,10:10
2023-10-10,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"22,5","0,0","19,3",06:00,"25,7",10:50,24.0,"3,3","9,2",17:20,87,91,Varias,70,10:10
2023-10-11,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"21,2","0,0","18,3",06:00,"24,2",13:10,21.0,"3,6","8,6",13:20,87,92,Varias,79,08:00
2023-10-12,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"21,4","0,0","18,5",06:20,"24,2",10:30,21.0,"3,6","8,9",15:30,89,91,Varias,78,08:50
2023-10-13,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"21,8","0,0","18,4",05:50,"25,2",15:00,24.0,"3,9","10,3",16:30,88,93,04:40,75,15:00
2023-10-14,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"23,0","0,0","19,8",03:50,"26,2",14:40,8.0,"2,8","6,4",09:00,86,92,Varias,65,14:20
2023-10-15,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"20,4","10,9","19,4",09:50,"21,4",13:00,13.0,"3,1","8,3",12:00,86,94,Varias,83,13:10
2023-10-16,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"19,2","0,5","17,4",07:20,"20,9",00:10,8.0,"4,2","8,9",12:00,89,94,Varias,83,13:00
2023-10-17,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"20,6","0,0","17,3",05:00,"24,0",12:00,21.0,"1,9","7,5",14:10,90,92,Varias,83,Varias
