id,code,date,longitude,latitude,ref_system,nuts0_id,nuts0_name,nuts3_id,nuts3_name,lau_id,lau_name,type,validation,category,ai value,larvae,bite_count,bite_location,bite_time,map_link,Fecha
24d3c394-1cff-4ee7-a628-443e725aa358,07r3,2021-04-28 07:14:39.094498+00:00,2.1772127,41.4206233,WGS84,ES,España,ES511,Barcelona,ES_08019,Barcelona,site,1,storm_drain_dry,,,,,,https://map.mosquitoalert.com/24d3c394-1cff-4ee7-a628-443e725aa358,2021-04-28
3b964a8c-3b86-4ece-8027-a50b306dc0a7,M21u,2021-06-03 11:37:20.712946+00:00,2.20012938603964,41.4483458502604,WGS84,ES,España,ES511,Barcelona,ES_08019,Barcelona,site,1,storm_drain_dry,,,,,,https://map.mosquitoalert.com/3b964a8c-3b86-4ece-8027-a50b306dc0a7,2021-06-03
3b192a44-fb3a-4ea3-9e57-61b2df92a07c,R48L,2022-05-31 08:27:37.737632+00:00,2.17938803136349,41.4304093377802,WGS84,ES,España,ES511,Barcelona,ES_08019,Barcelona,site,1,storm_drain_water,,,,,,https://map.mosquitoalert.com/3b192a44-fb3a-4ea3-9e57-61b2df92a07c,2022-05-31
bc1eed32-5a24-4229-b80a-af15d7955cd6,9553,2024-05-22 09:20:32.922691+00:00,2.166675701737404,41.41891462709562,WGS84,ES,España,ES511,Barcelona,ES_08019,Barcelona,site,1,storm_drain_dry,,,,,,https://map.mosquitoalert.com/bc1eed32-5a24-4229-b80a-af15d7955cd6,2024-05-22
14ab984d-4d84-4b59-be20-25701f29e566,5716,2023-05-24 09:04:29.396452+00:00,2.17266193316744,41.409129021538,WGS84,ES,España,ES511,Barcelona,ES_08019,Barcelona,site,1,storm_drain_water,,,,,,https://map.mosquitoalert.com/14ab984d-4d84-4b59-be20-25701f29e566,2023-05-24
5f255cc5-1467-4b00-9c61-181a27b24106,H1fq,2023-05-05 10:18:47.089063+00:00,2.1500788,41.4335115,WGS84,ES,España,ES511,Barcelona,ES_08019,Barcelona,site,1,storm_drain_water,,,,,,https://map.mosquitoalert.com/5f255cc5-1467-4b00-9c61-181a27b24106,2023-05-05
4c3f308b-6581-4c1d-8cdf-07745791b0b2,0101,2021-06-03 12:01:46.698088+00:00,2.20144579731492,41.4464601542369,WGS84,ES,España,ES511,Barcelona,ES_08019,Barcelona,site,1,storm_drain_dry,,,,,,https://map.mosquitoalert.com/4c3f308b-6581-4c1d-8cdf-07745791b0b2,2021-06-03
684b2753-7b56-4fdf-86a2-976af2a12428,3092,2023-05-09 10:35:00.672778+00:00,2.1479475,41.4307333,WGS84,ES,España,ES511,Barcelona,ES_08019,Barcelona,site,1,storm_drain_water,,,,,,https://map.mosquitoalert.com/684b2753-7b56-4fdf-86a2-976af2a12428,2023-05-09
6de21ae9-69b5-4c36-91a9-2f417dbb71cf,1Jtr,2023-05-15 11:51:14.334718+00:00,2.200916,41.4472875,WGS84,ES,España,ES511,Barcelona,ES_08019,Barcelona,site,1,storm_drain_water,,,,,,https://map.mosquitoalert.com/6de21ae9-69b5-4c36-91a9-2f417dbb71cf,2023-05-15
d8a2afde-c017-46af-82c6-3325f971bc0d,Ld11,2024-05-22 09:17:51.842751+00:00,2.1695089,41.4195104,WGS84,ES,España,ES511,Barcelona,ES_08019,Barcelona,site,1,storm_drain_dry,,,,,,https://map.mosquitoalert.com/d8a2afde-c017-46af-82c6-3325f971bc0d,2024-05-22
3bf621e8-5d1e-4ca3-8da0-06cf417e312a,lbTP,2023-05-24 09:09:20.987772+00:00,2.17277,41.4083988,WGS84,ES,España,ES511,Barcelona,ES_08019,Barcelona,site,1,storm_drain_water,,,,,,https://map.mosquitoalert.com/3bf621e8-5d1e-4ca3-8da0-06cf417e312a,2023-05-24
440d575a-d3a6-468d-8dbe-4cf18c686c11,0g4P,2023-05-24 09:03:31.034938+00:00,2.1724017,41.4094132,WGS84,ES,España,ES511,Barcelona,ES_08019,Barcelona,site,1,storm_drain_water,,,,,,https://map.mosquitoalert.com/440d575a-d3a6-468d-8dbe-4cf18c686c11,2023-05-24
cc517963-821f-4949-b60e-258ed17aafdc,7119,2022-06-08 08:50:23.895230+00:00,2.1682565,41.4081117,WGS84,ES,España,ES511,Barcelona,ES_08019,Barcelona,site,1,storm_drain_water,,,,,,https://map.mosquitoalert.com/cc517963-821f-4949-b60e-258ed17aafdc,2022-06-08
c5954648-7c3b-4a53-b9b2-6a94c2a10f50,gC9b,2023-05-15 12:12:54.341699+00:00,2.2018058,41.4463937,WGS84,ES,España,ES511,Barcelona,ES_08019,Barcelona,site,1,storm_drain_dry,,,,,,https://map.mosquitoalert.com/c5954648-7c3b-4a53-b9b2-6a94c2a10f50,2023-05-15
0122f59b-01ea-4ca7-84c1-5cd6d96c581c,2oy7,2021-04-28 07:17:51.492109+00:00,2.17865243554115,41.4221754772209,WGS84,ES,España,ES511,Barcelona,ES_08019,Barcelona,site,1,storm_drain_dry,,,,,,https://map.mosquitoalert.com/0122f59b-01ea-4ca7-84c1-5cd6d96c581c,2021-04-28
0c7c8c40-ebb4-4ca2-b56b-2bf23fcc7d67,Vepr,2021-04-28 07:24:05.664808+00:00,2.1786531,41.418868,WGS84,ES,España,ES511,Barcelona,ES_08019,Barcelona,site,1,storm_drain_dry,,,,,,https://map.mosquitoalert.com/0c7c8c40-ebb4-4ca2-b56b-2bf23fcc7d67,2021-04-28
a32c6e8f-53aa-4cf4-8ecd-287817072282,05wZ,2022-05-31 07:56:15.155743+00:00,2.1755509,41.431829,WGS84,ES,España,ES511,Barcelona,ES_08019,Barcelona,site,1,storm_drain_dry,,,,,,https://map.mosquitoalert.com/a32c6e8f-53aa-4cf4-8ecd-287817072282,2022-05-31
